lake,date,chl_mean,ndvi_mean,ndwi_g_mean,ndwi_s_mean,r_pix_ndvi_pearson,r_pix_ndvi_spearman,r_pix_ndwi_g_pearson,r_pix_ndwi_g_spearman,r_pix_ndwi_s_pearson,r_pix_ndwi_s_spearman,l2a_path,chl_path
Atitlán,2025-05-03,1.7882367372512817,0.1351388543844223,-0.03147239610552788,0.3969781696796417,0.6988133192062378,0.47742959429033605,-0.7331812977790833,-0.49550671212688696,0.8083277940750122,0.4065737484845694,descargas_atitlan\openEO_2025-05-03Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-05-03Z_chl.tif
Atitlán,2025-05-08,3.557370901107788,0.14057880640029907,-0.022343840450048447,0.3516051173210144,0.174748495221138,0.3477249616835112,-0.17671604454517365,-0.32048302511193694,-0.13768979907035828,-0.033974056918672696,descargas_atitlan_fechas\openEO_2025-05-08Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-05-08Z_chl.tif
Atitlán,2025-05-13,2.7150497436523438,0.07859465479850769,0.0006557703018188477,0.36618679761886597,0.5648981332778931,0.3681282025674069,-0.44634613394737244,-0.1807889393391536,0.5163048505783081,0.2456371458412413,descargas_atitlan\openEO_2025-05-13Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-05-13Z_chl.tif
Atitlán,2025-05-25,0.8180577158927917,0.27837085723876953,-0.07271544635295868,0.4165663719177246,0.08351773768663406,0.016484261569066547,-0.05185852572321892,-0.06466084504429723,-0.10781337320804596,-0.12483437367958555,descargas_atitlan_fechas\openEO_2025-05-25Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-05-25Z_chl.tif
Atitlán,2025-05-28,2.706538438796997,0.05638068541884422,0.04914175719022751,0.29443326592445374,0.0900268480181694,0.07045053965461635,0.10971905291080475,0.09786781920129402,-0.18075205385684967,-0.21494223578010593,descargas_atitlan\openEO_2025-05-28Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-05-28Z_chl.tif
Atitlán,2025-07-02,1.203719139099121,0.33319002389907837,-0.08787350356578827,0.44566553831100464,0.35321930050849915,0.34473284943196764,-0.09120291471481323,-0.14665848253913952,0.04134903848171234,0.06367314490623655,descargas_atitlan_fechas\openEO_2025-07-02Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-07-02Z_chl.tif
Atitlán,2025-07-12,9.960592269897461,0.29566267132759094,-0.12588085234165192,0.4431629776954651,0.7579546570777893,0.54549831135677,-0.8571306467056274,-0.5092058700117609,0.784700870513916,0.48131321279213996,descargas_atitlan_fechas\openEO_2025-07-12Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-07-12Z_chl.tif
Atitlán,2025-07-22,2.9785726070404053,0.2303461730480194,-0.06644871085882187,0.37160319089889526,0.6667002439498901,0.3662926653325547,-0.816186249256134,-0.3169121560764721,0.7273515462875366,0.2732213257885825,descargas_atitlan_fechas\openEO_2025-07-22Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-07-22Z_chl.tif
Atitlán,2025-07-24,23.686534881591797,0.3575192987918854,-0.19062457978725433,0.5792730450630188,0.7549237608909607,0.729353973929087,-0.7987717390060425,-0.7517346716962297,0.8505427241325378,0.7513181588894788,descargas_atitlan\openEO_2025-07-24Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-07-24Z_chl.tif
Atitlán,2025-08-01,33.930362701416016,0.2189347892999649,-0.08536716550588608,0.4592049717903137,0.9315491914749146,0.7349424728323954,-0.8752546310424805,-0.7121299801423057,0.8966403603553772,0.7151716458343175,descargas_atitlan\openEO_2025-08-01Z.tif,ciano_outputs\descargas_atitlan_fechas\openEO_2025-08-01Z_chl.tif
